"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Garlic, State : Karnataka"
"Commodity : Garlic, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bangarpet APMC
01/12/2025,0.8,Garlic,7000.0,8500.0,8000.0
02/12/2025,0.9,Garlic,7000.0,8300.0,8000.0
03/12/2025,0.4,Garlic,7500.0,8300.0,8000.0
04/12/2025,0.5,Garlic,7000.0,8200.0,8000.0
05/12/2025,0.9,Garlic,7500.0,8300.0,8000.0
06/12/2025,0.7000000000000001,Garlic,7000.0,8200.0,8000.0
08/12/2025,0.8,Garlic,7000.0,8200.0,8000.0
09/12/2025,0.4,Garlic,7000.0,8300.0,8000.0
10/12/2025,0.6000000000000001,Garlic,7500.0,8100.0,8000.0
11/12/2025,0.7000000000000001,Garlic,7000.0,7700.0,7500.0
12/12/2025,0.6000000000000001,Garlic,6500.0,7500.0,7200.0
15/12/2025,1.0,Garlic,6000.0,6700.0,6500.0
16/12/2025,0.5,Garlic,7000.0,7800.0,7500.0
17/12/2025,0.7000000000000001,Garlic,7000.0,7700.0,7500.0
18/12/2025,0.5,Garlic,6500.0,7500.0,7000.0
19/12/2025,0.8,Garlic,7000.0,7700.0,7500.0
20/12/2025,0.8,Garlic,7000.0,8000.0,7500.0
22/12/2025,0.9,Garlic,7000.0,7700.0,7500.0
23/12/2025,0.7000000000000001,Garlic,6000.0,7500.0,7000.0
24/12/2025,0.4,Garlic,7000.0,8300.0,8000.0
26/12/2025,0.4,Garlic,7000.0,8000.0,7500.0
29/12/2025,0.9,Garlic,7000.0,8000.0,7500.0
30/12/2025,0.7000000000000001,Garlic,7000.0,8000.0,7500.0
31/12/2025,0.9,Garlic,7000.0,8000.0,7500.0
Market Name : Chintamani APMC
11/12/2025,4.0,Garlic,4000.0,7000.0,5000.0
Market Name : Davangere APMC
15/12/2025,0.8,Garlic,2500.0,4500.0,3500.0
16/12/2025,0.6000000000000001,Garlic,2500.0,4500.0,3600.0
17/12/2025,0.8,Garlic,3000.0,4700.0,4000.0
18/12/2025,0.6000000000000001,Garlic,3000.0,4800.0,4000.0
19/12/2025,0.6000000000000001,Garlic,3000.0,4700.0,4000.0
20/12/2025,0.6000000000000001,Garlic,3000.0,4300.0,3700.0
22/12/2025,0.6000000000000001,Garlic,3000.0,5000.0,4000.0
23/12/2025,0.6000000000000001,Garlic,3100.0,5000.0,3900.0
24/12/2025,0.6000000000000001,Garlic,3000.0,5200.0,4100.0
29/12/2025,0.6000000000000001,Garlic,3000.0,5100.0,4100.0
30/12/2025,0.7000000000000001,Garlic,4000.0,6000.0,5000.0
31/12/2025,0.6000000000000001,Garlic,4000.0,5000.0,4500.0
Market Name : Hospet APMC
10/12/2025,3.0,Garlic,4000.0,4200.0,4200.0
23/12/2025,3.0,Garlic,4000.0,4200.0,4200.0
Market Name : Shimoga APMC
01/12/2025,0.7000000000000001,Garlic,5000.0,10000.0,7500.0
02/12/2025,0.2,Garlic,5000.0,10000.0,7500.0
03/12/2025,0.2,Garlic,5000.0,10000.0,7500.0
08/12/2025,0.2,Garlic,5000.0,10000.0,7500.0
11/12/2025,0.2,Garlic,5000.0,10000.0,7500.0
12/12/2025,0.2,Garlic,5000.0,10000.0,7500.0
Market Name : Tumkur APMC
24/12/2025,7.5,Garlic,7000.0,14000.0,9200.0
29/12/2025,8.0,Garlic,7500.0,15000.0,9200.0
