date,market,arrival,modal_price
2025-12-01,Bangarpet APMC,0.8,8000.0
2025-12-02,Bangarpet APMC,0.9,8000.0
2025-12-03,Bangarpet APMC,0.4,8000.0
2025-12-04,Bangarpet APMC,0.5,8000.0
2025-12-05,Bangarpet APMC,0.9,8000.0
2025-12-06,Bangarpet APMC,0.7000000000000001,8000.0
2025-12-08,Bangarpet APMC,0.8,8000.0
2025-12-09,Bangarpet APMC,0.4,8000.0
2025-12-10,Bangarpet APMC,0.6000000000000001,8000.0
2025-12-11,Bangarpet APMC,0.7000000000000001,7500.0
2025-12-12,Bangarpet APMC,0.6000000000000001,7200.0
2025-12-15,Bangarpet APMC,1.0,6500.0
2025-12-16,Bangarpet APMC,0.5,7500.0
2025-12-17,Bangarpet APMC,0.7000000000000001,7500.0
2025-12-18,Bangarpet APMC,0.5,7000.0
2025-12-19,Bangarpet APMC,0.8,7500.0
2025-12-20,Bangarpet APMC,0.8,7500.0
2025-12-22,Bangarpet APMC,0.9,7500.0
2025-12-23,Bangarpet APMC,0.7000000000000001,7000.0
2025-12-24,Bangarpet APMC,0.4,8000.0
2025-12-26,Bangarpet APMC,0.4,7500.0
2025-12-29,Bangarpet APMC,0.9,7500.0
2025-12-30,Bangarpet APMC,0.7000000000000001,7500.0
2025-12-31,Bangarpet APMC,0.9,7500.0
2025-12-11,Chintamani APMC,4.0,5000.0
2025-12-15,Davangere APMC,0.8,3500.0
2025-12-16,Davangere APMC,0.6000000000000001,3600.0
2025-12-17,Davangere APMC,0.8,4000.0
2025-12-18,Davangere APMC,0.6000000000000001,4000.0
2025-12-19,Davangere APMC,0.6000000000000001,4000.0
2025-12-20,Davangere APMC,0.6000000000000001,3700.0
2025-12-22,Davangere APMC,0.6000000000000001,4000.0
2025-12-23,Davangere APMC,0.6000000000000001,3900.0
2025-12-24,Davangere APMC,0.6000000000000001,4100.0
2025-12-29,Davangere APMC,0.6000000000000001,4100.0
2025-12-30,Davangere APMC,0.7000000000000001,5000.0
2025-12-31,Davangere APMC,0.6000000000000001,4500.0
2025-12-10,Hospet APMC,3.0,4200.0
2025-12-23,Hospet APMC,3.0,4200.0
2025-12-01,Shimoga APMC,0.7000000000000001,7500.0
2025-12-02,Shimoga APMC,0.2,7500.0
2025-12-03,Shimoga APMC,0.2,7500.0
2025-12-08,Shimoga APMC,0.2,7500.0
2025-12-11,Shimoga APMC,0.2,7500.0
2025-12-12,Shimoga APMC,0.2,7500.0
2025-12-24,Tumkur APMC,7.5,9200.0
2025-12-29,Tumkur APMC,8.0,9200.0
