"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Coriander(Leaves), State : Karnataka"
"Commodity : Coriander(Leaves), State : Karnataka"

Arrival Date,Arrivals (Bundle),Variety,Minimum Price (Rs./Bundle),Maximum Price (Rs./Bundle),Modal Price (Rs./Bundle)
Market Name : Chintamani APMC
31/12/2025,11.0,Local,5375.0,5625.0,5525.0
Market Name : Gadag APMC
11/12/2025,0.1,Local,5167.0,5167.0,5167.0
Market Name : Hubli (Amaragol) APMC
04/12/2025,0.1,Local,8512.0,8512.0,8512.0
10/12/2025,34.1,Local,7026.0,7026.0,7026.0
11/12/2025,0.2,Local,7101.0,7101.0,7101.0
15/12/2025,0.1,Local,6416.0,6416.0,6416.0
16/12/2025,0.1,Local,7216.0,7216.0,7216.0
18/12/2025,0.2,Local,7431.0,7431.0,7431.0
20/12/2025,0.2,Local,7931.0,8056.0,7962.0
22/12/2025,0.4,Local,7471.0,8421.0,8211.0
29/12/2025,0.30000000000000004,Local,8311.0,8631.0,8418.0
