date,market,arrival,modal_price
2025-12-31,Chintamani APMC,11.0,5525.0
2025-12-11,Gadag APMC,0.1,5167.0
2025-12-04,Hubli (Amaragol) APMC,0.1,8512.0
2025-12-10,Hubli (Amaragol) APMC,34.1,7026.0
2025-12-11,Hubli (Amaragol) APMC,0.2,7101.0
2025-12-15,Hubli (Amaragol) APMC,0.1,6416.0
2025-12-16,Hubli (Amaragol) APMC,0.1,7216.0
2025-12-18,Hubli (Amaragol) APMC,0.2,7431.0
2025-12-20,Hubli (Amaragol) APMC,0.2,7962.0
2025-12-22,Hubli (Amaragol) APMC,0.4,8211.0
2025-12-29,Hubli (Amaragol) APMC,0.3,8418.0
