"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Cotton, State : Karnataka"
"Commodity : Cotton, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Bailahongal APMC
01/12/2025,39.1,Varalakshmi  (Ginned),7500.0,8800.0,8165.0
03/12/2025,64.10000000000001,Varalakshmi  (Ginned),7600.0,8500.0,8017.0
04/12/2025,19.8,Varalakshmi  (Ginned),7600.0,8900.0,8416.0
05/12/2025,8.0,Varalakshmi  (Ginned),7600.0,8750.0,8431.0
09/12/2025,138.0,LD-327,6200.0,7200.0,6904.0
10/12/2025,60.900000000000006,Varalakshmi  (Ginned),6300.0,8400.0,7986.0
11/12/2025,19.400000000000002,Varalakshmi  (Ginned),7600.0,8750.0,8466.0
12/12/2025,5.7,Varalakshmi  (Ginned),7400.0,8600.0,8214.0
16/12/2025,120.0,Varalakshmi  (Ginned),6800.0,8200.0,7820.0
17/12/2025,8.8,Varalakshmi  (Ginned),7200.0,8800.0,8573.0
18/12/2025,0.9,Varalakshmi  (Ginned),7500.0,8820.0,8629.0
20/12/2025,6.800000000000001,Varalakshmi  (Ginned),7400.0,8800.0,8634.0
22/12/2025,11.0,Varalakshmi  (Ginned),7400.0,8750.0,8534.0
23/12/2025,167.8,LD-327,6500.0,7850.0,7555.0
29/12/2025,15.700000000000001,Varalakshmi  (Ginned),7420.0,8800.0,8618.0
30/12/2025,67.9,Varalakshmi  (Ginned),7450.0,8850.0,8734.0
31/12/2025,2.9000000000000004,Varalakshmi  (Ginned),7650.0,9000.0,8900.0
Market Name : Bijapur APMC
01/12/2025,673.3000000000001,LH-1556,1000.0,7382.0,7204.0
02/12/2025,633.7,LH-1556,1000.0,7402.0,7202.0
03/12/2025,683.2,LH-1556,1000.0,7413.0,7214.0
04/12/2025,604.7,LH-1556,1005.0,7460.0,7259.0
10/12/2025,534.2,LH-1556,6005.0,7829.0,7591.0
11/12/2025,546.2,LH-1556,6515.0,7853.0,7608.0
12/12/2025,651.4000000000001,LH-1556,5005.0,7850.0,7531.0
15/12/2025,20.200000000000003,LH-1556,6800.0,7000.0,6900.0
16/12/2025,858.2,LH-1556,5555.0,7680.0,7364.0
17/12/2025,622.2,LH-1556,6045.0,7709.0,7337.0
18/12/2025,615.9000000000001,LH-1556,5085.0,7760.0,7351.0
19/12/2025,512.3000000000001,LH-1556,5662.0,7669.0,7366.0
23/12/2025,496.3,LH-1556,5469.0,7790.0,7536.0
24/12/2025,498.5,LH-1556,3155.0,7856.0,7592.0
26/12/2025,468.90000000000003,LH-1556,6365.0,7910.0,7661.0
30/12/2025,416.5,LH-1556,6005.0,7911.0,7624.0
31/12/2025,420.5,LH-1556,6571.0,7920.0,7617.0
Market Name : Chitradurga APMC
04/12/2025,20.400000000000002,Varalakshmi  (Ginned),2911.0,9529.0,7054.0
06/12/2025,27.0,Varalakshmi  (Ginned),2010.0,9461.0,7192.0
11/12/2025,34.2,Varalakshmi  (Ginned),1862.0,9219.0,8040.0
