date,market,arrival,modal_price
2025-12-01,Bailahongal APMC,39.1,8165.0
2025-12-03,Bailahongal APMC,64.10000000000001,8017.0
2025-12-04,Bailahongal APMC,19.8,8416.0
2025-12-05,Bailahongal APMC,8.0,8431.0
2025-12-09,Bailahongal APMC,138.0,6904.0
2025-12-10,Bailahongal APMC,60.900000000000006,7986.0
2025-12-11,Bailahongal APMC,19.4,8466.0
2025-12-12,Bailahongal APMC,5.7,8214.0
2025-12-16,Bailahongal APMC,120.0,7820.0
2025-12-17,Bailahongal APMC,8.8,8573.0
2025-12-18,Bailahongal APMC,0.9,8629.0
2025-12-20,Bailahongal APMC,6.800000000000001,8634.0
2025-12-22,Bailahongal APMC,11.0,8534.0
2025-12-23,Bailahongal APMC,167.8,7555.0
2025-12-29,Bailahongal APMC,15.7,8618.0
2025-12-30,Bailahongal APMC,67.9,8734.0
2025-12-31,Bailahongal APMC,2.9000000000000004,8900.0
2025-12-01,Bijapur APMC,673.3000000000001,7204.0
2025-12-02,Bijapur APMC,633.7,7202.0
2025-12-03,Bijapur APMC,683.2,7214.0
2025-12-04,Bijapur APMC,604.7,7259.0
2025-12-10,Bijapur APMC,534.2,7591.0
2025-12-11,Bijapur APMC,546.2,7608.0
2025-12-12,Bijapur APMC,651.4000000000001,7531.0
2025-12-15,Bijapur APMC,20.200000000000003,6900.0
2025-12-16,Bijapur APMC,858.2,7364.0
2025-12-17,Bijapur APMC,622.2,7337.0
2025-12-18,Bijapur APMC,615.9000000000001,7351.0
2025-12-19,Bijapur APMC,512.3000000000001,7366.0
2025-12-23,Bijapur APMC,496.3,7536.0
2025-12-24,Bijapur APMC,498.5,7592.0
2025-12-26,Bijapur APMC,468.9,7661.0
2025-12-30,Bijapur APMC,416.5,7624.0
2025-12-31,Bijapur APMC,420.5,7617.0
2025-12-04,Chitradurga APMC,20.4,7054.0
2025-12-06,Chitradurga APMC,27.0,7192.0
2025-12-11,Chitradurga APMC,34.2,8040.0
2025-12-16,Chitradurga APMC,32.4,8030.0
2025-12-10,Davangere APMC,0.2,5069.0
2025-12-16,Davangere APMC,5.300000000000001,7100.0
2025-12-19,Davangere APMC,21.8,7200.0
2025-12-24,Gokak APMC,5.5,6601.0
2025-12-01,Haliyala APMC,9.8,8269.0
2025-12-20,Hubli (Amaragol) APMC,46.8,7196.0
2025-12-22,Hubli (Amaragol) APMC,12.1,8200.0
2025-12-24,Hubli (Amaragol) APMC,7.800000000000001,8200.0
2025-12-30,Hubli (Amaragol) APMC,15.0,8200.0
2025-12-04,Kottur APMC,0.3,4924.0
2025-12-11,Kottur APMC,0.2,5359.0
2025-12-15,Kottur APMC,0.1,5591.0
2025-12-18,Kottur APMC,0.3,5018.0
2025-12-22,Kottur APMC,1.0,6114.0
2025-12-25,Kottur APMC,0.4,6189.0
2025-12-29,Kottur APMC,0.3,4931.0
2025-12-17,Nanjangud APMC,9.7,8000.0
2025-12-22,Nanjangud APMC,9.0,8000.0
2025-12-23,Nanjangud APMC,9.5,8000.0
2025-12-01,Raichur APMC,1100.1,7145.0
2025-12-02,Raichur APMC,2128.4,7100.0
2025-12-03,Raichur APMC,3918.7,7227.0
2025-12-04,Raichur APMC,2504.4,7197.0
2025-12-09,Raichur APMC,1537.0,7400.0
2025-12-10,Raichur APMC,1054.0,7201.0
2025-12-11,Raichur APMC,2663.8,7300.0
2025-12-12,Raichur APMC,2442.8,7440.0
2025-12-13,Raichur APMC,2549.9,7268.0
2025-12-15,Raichur APMC,1237.9,7145.0
2025-12-16,Raichur APMC,1333.2,7400.0
2025-12-17,Raichur APMC,1498.2,7420.0
2025-12-18,Raichur APMC,2933.5,7300.0
2025-12-20,Raichur APMC,2027.8,7300.0
2025-12-22,Raichur APMC,373.5,7477.0
2025-12-23,Raichur APMC,1919.7,7600.0
2025-12-24,Raichur APMC,2551.1000000000004,7600.0
2025-12-26,Raichur APMC,1963.4,7550.0
2025-12-29,Raichur APMC,1086.8,7500.0
2025-12-30,Raichur APMC,2146.4,7471.0
2025-12-31,Raichur APMC,2715.8,7419.0
2025-12-08,Sankeshwar APMC,9.2,5000.0
2025-12-01,Savanur APMC,8.700000000000001,7275.0
2025-12-04,Savanur APMC,2.7,7254.0
2025-12-11,Savanur APMC,8.3,7453.0
2025-12-15,Savanur APMC,3.9,7582.0
2025-12-18,Savanur APMC,10.8,7607.0
2025-12-22,Savanur APMC,9.5,7534.0
2025-12-27,Savanur APMC,2.6,7181.0
2025-12-29,Savanur APMC,4.6000000000000005,7299.0
