date,market,arrival,modal_price
2025-12-10,Bangarpet APMC,500.0,30000.0
2025-12-02,Bhadravathi APMC,1500.0,20000.0
2025-12-08,Bhadravathi APMC,2700.0,22666.0
2025-12-11,Bhadravathi APMC,1800.0,23666.0
2025-12-17,Bhadravathi APMC,2500.0,28000.0
2025-12-18,Bhadravathi APMC,2400.0,23750.0
2025-12-20,Bhadravathi APMC,1500.0,28000.0
2025-12-22,Bhadravathi APMC,4180.5,29566.0
2025-12-23,Bhadravathi APMC,2100.0,27000.0
2025-12-26,Bhadravathi APMC,7014.8,32000.0
2025-12-01,Chamaraj Nagar APMC,16554.8,26430.0
2025-12-04,Chamaraj Nagar APMC,6220.0,29000.0
2025-12-05,Chamaraj Nagar APMC,3600.0,27600.0
2025-12-08,Chamaraj Nagar APMC,6887.0,30000.0
2025-12-09,Chamaraj Nagar APMC,12944.5,28700.0
2025-12-10,Chamaraj Nagar APMC,3271.5,25200.0
2025-12-11,Chamaraj Nagar APMC,4350.0,25800.0
2025-12-12,Chamaraj Nagar APMC,12072.7,30500.0
2025-12-13,Chamaraj Nagar APMC,18329.5,23650.0
2025-12-15,Chamaraj Nagar APMC,12538.3,27500.0
2025-12-17,Chamaraj Nagar APMC,11780.0,25650.0
2025-12-18,Chamaraj Nagar APMC,13265.0,31800.0
2025-12-19,Chamaraj Nagar APMC,2500.0,18000.0
2025-12-20,Chamaraj Nagar APMC,4787.8,29000.0
2025-12-22,Chamaraj Nagar APMC,4563.6,23600.0
2025-12-24,Chamaraj Nagar APMC,4330.0,29000.0
2025-12-26,Chamaraj Nagar APMC,4772.7,30300.0
2025-12-27,Chamaraj Nagar APMC,4850.0,24300.0
2025-12-29,Chamaraj Nagar APMC,9801.8,30200.0
2025-12-30,Chamaraj Nagar APMC,7728.0,29300.0
2025-12-31,Chamaraj Nagar APMC,5925.700000000001,26100.0
2025-12-10,Davangere APMC,1300.0,18000.0
2025-12-29,Davangere APMC,700.0,20000.0
2025-12-31,Davangere APMC,2331.0,25000.0
2025-12-02,Gundlupet APMC,0.4,25000.0
2025-12-05,Gundlupet APMC,0.4,25000.0
2025-12-11,Gundlupet APMC,0.5,18000.0
2025-12-12,Gundlupet APMC,1.5,19000.0
2025-12-01,Hiriyur APMC,1400.0,23000.0
2025-12-01,Holalkere APMC,2079.0,29550.0
2025-12-15,Holalkere APMC,5190.0,29645.0
2025-12-18,Holalkere APMC,1576.0,28900.0
2025-12-22,Holalkere APMC,2539.0,29120.0
2025-12-29,Holalkere APMC,1980.0,25000.0
2025-12-30,Hubli (Amaragol) APMC,2560.0,44000.0
2025-12-09,Hunsur APMC,5000.0,20000.0
2025-12-01,K.R. Pet APMC,927.8,28000.0
2025-12-05,K.R. Pet APMC,2000.0,28000.0
2025-12-08,K.R. Pet APMC,2564.2000000000003,29000.0
2025-12-09,K.R. Pet APMC,2500.0,28000.0
2025-12-12,K.R. Pet APMC,9000.0,30000.0
2025-12-19,K.R. Pet APMC,8700.0,25000.0
2025-12-20,K.R. Pet APMC,500.0,45000.0
2025-12-26,K.R. Pet APMC,2000.0,26000.0
2025-12-29,K.R. Pet APMC,1500.0,39000.0
2025-12-04,Kumta APMC,568.0,32570.0
2025-12-11,Kumta APMC,326.6,36936.0
2025-12-18,Kumta APMC,610.6,41478.0
2025-12-24,Kumta APMC,387.0,38732.0
2025-12-16,Mangalore APMC,50.0,2500.0
2025-12-16,Sulya APMC,2100.0,28000.0
2025-12-19,Sulya APMC,3240.0,30500.0
2025-12-20,Sulya APMC,3240.0,30500.0
2025-12-22,Sulya APMC,2980.0,31000.0
2025-12-26,Sulya APMC,9119.0,30000.0
2025-12-31,Sulya APMC,2440.0,31500.0
2025-12-09,Yellapur APMC,65.0,31500.0
2025-12-15,Yellapur APMC,79.60000000000001,31500.0
2025-12-16,Yellapur APMC,660.0,30820.0
2025-12-20,Yellapur APMC,233.9,31000.0
2025-12-23,Yellapur APMC,33.800000000000004,30500.0
2025-12-31,Yellapur APMC,528.0,30500.0
