date,market,arrival,modal_price
2025-12-02,Bantwala APMC,28.1,28800.0
2025-12-04,Bantwala APMC,22.700000000000003,22000.0
2025-12-08,Bantwala APMC,34.4,29400.0
2025-12-12,Belthangdi APMC,20.700000000000003,30000.0
2025-12-15,Belthangdi APMC,24.6,29500.0
2025-12-17,Belthangdi APMC,3.0,24000.0
2025-12-26,Belthangdi APMC,25.8,29500.0
2025-12-29,Belthangdi APMC,20.3,29500.0
2025-12-02,Bhadravathi APMC,295.40000000000003,23911.0
2025-12-03,Bhadravathi APMC,84.60000000000001,19791.0
2025-12-04,Bhadravathi APMC,10.8,23918.0
2025-12-08,Bhadravathi APMC,8.4,10557.0
2025-12-09,Bhadravathi APMC,6.800000000000001,10082.0
2025-12-10,Bhadravathi APMC,6.0,13000.0
2025-12-11,Bhadravathi APMC,14.5,8582.0
2025-12-12,Bhadravathi APMC,5.6000000000000005,9500.0
2025-12-15,Bhadravathi APMC,13.2,10136.0
2025-12-16,Bhadravathi APMC,1.5,16150.0
2025-12-17,Bhadravathi APMC,7.800000000000001,10365.0
2025-12-18,Bhadravathi APMC,15.6,28200.0
2025-12-19,Bhadravathi APMC,20.0,9700.0
2025-12-22,Bhadravathi APMC,18.5,10000.0
2025-12-23,Bhadravathi APMC,38.2,28100.0
2025-12-26,Bhadravathi APMC,5.2,10000.0
2025-12-29,Bhadravathi APMC,1.6,10000.0
2025-12-30,Bhadravathi APMC,43.7,28200.0
2025-12-31,Bhadravathi APMC,5.0,11000.0
2025-12-01,Chamaraj Nagar APMC,9.8,13000.0
2025-12-10,Chamaraj Nagar APMC,6.5,13000.0
2025-12-12,Chamaraj Nagar APMC,2.9000000000000004,13000.0
2025-12-13,Chamaraj Nagar APMC,3.6,13000.0
2025-12-15,Chamaraj Nagar APMC,7.0,13000.0
2025-12-17,Chamaraj Nagar APMC,15.8,13200.0
2025-12-19,Chamaraj Nagar APMC,2.6,24300.0
2025-12-20,Chamaraj Nagar APMC,6.5,12500.0
2025-12-22,Chamaraj Nagar APMC,6.0,13000.0
2025-12-24,Chamaraj Nagar APMC,9.2,13000.0
2025-12-26,Chamaraj Nagar APMC,4.3,13000.0
2025-12-27,Chamaraj Nagar APMC,12.0,13000.0
2025-12-29,Chamaraj Nagar APMC,4.5,13500.0
2025-12-02,Channagiri APMC,348.0,58286.0
2025-12-04,Channagiri APMC,287.90000000000003,57311.0
2025-12-06,Channagiri APMC,286.5,56831.0
2025-12-11,Channagiri APMC,234.7,55983.0
2025-12-15,Channagiri APMC,313.6,55259.0
2025-12-16,Channagiri APMC,216.9,54409.0
2025-12-18,Channagiri APMC,310.0,53800.0
2025-12-20,Channagiri APMC,268.1,54131.0
2025-12-23,Channagiri APMC,338.1,55064.0
2025-12-26,Channagiri APMC,235.0,55366.0
2025-12-29,Channagiri APMC,315.20000000000005,56079.0
2025-12-30,Channagiri APMC,283.40000000000003,57248.0
2025-12-06,Chitradurga APMC,8.0,54989.0
2025-12-08,Chitradurga APMC,12.5,37849.0
2025-12-11,Chitradurga APMC,40.0,30800.0
2025-12-12,Chitradurga APMC,30.0,30800.0
2025-12-16,Chitradurga APMC,40.0,30800.0
2025-12-18,Chitradurga APMC,8.0,52489.0
2025-12-20,Chitradurga APMC,6.0,52359.0
2025-12-23,Chitradurga APMC,28.0,36800.0
2025-12-30,Chitradurga APMC,0.2,55800.0
2025-12-02,Davangere APMC,9.8,12000.0
2025-12-03,Davangere APMC,3.0,7000.0
2025-12-04,Davangere APMC,24.5,23900.0
2025-12-09,Davangere APMC,4.6000000000000005,12000.0
2025-12-10,Davangere APMC,9.0,7000.0
2025-12-15,Davangere APMC,1.5,7000.0
2025-12-16,Davangere APMC,6.2,7000.0
2025-12-17,Davangere APMC,3.5,7000.0
2025-12-20,Davangere APMC,2.8000000000000003,12000.0
2025-12-22,Davangere APMC,2.8000000000000003,12000.0
2025-12-23,Davangere APMC,3.5,7000.0
2025-12-24,Davangere APMC,9.5,12000.0
2025-12-26,Davangere APMC,2.7,12000.0
2025-12-29,Davangere APMC,10.5,18960.0
2025-12-31,Davangere APMC,18.2,9492.0
2025-12-11,Hiriyur APMC,12.2,25164.0
2025-12-13,Hiriyur APMC,8.0,25500.0
2025-12-18,Hiriyur APMC,2.5,25000.0
2025-12-24,Hiriyur APMC,8.0,25500.0
2025-12-29,Hiriyur APMC,16.5,24516.0
2025-12-01,Holalkere APMC,103.2,26893.0
2025-12-02,Holalkere APMC,1.7000000000000002,12000.0
2025-12-03,Holalkere APMC,33.800000000000004,29000.0
